,city name,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Date,country
0,ixtapa,20.7,-105.2,78.8,53,1,4.61,1612032599,MX
1,hasaki,35.7333,140.8333,28.4,68,20,3.44,1612032599,JP
2,jiazi,22.8779,116.067,55.51,88,3,11.56,1612032599,CN
3,atuona,-9.8,-139.0333,78.78,78,19,16.11,1612032600,PF
4,berdigestyakh,62.0989,126.6992,-50.01,76,67,1.19,1612032600,RU
5,port elizabeth,-33.918,25.5701,66.2,88,0,5.75,1612032460,ZA
6,rikitea,-23.1203,-134.9692,78.84,76,3,12.33,1612032600,PF
7,vuktyl,63.8567,57.3094,-10.1,89,100,7.92,1612032600,RU
8,ushuaia,-54.8,-68.3,53.6,58,20,27.63,1612032601,AR
9,saskylakh,71.9167,114.0833,-36.36,81,100,9.55,1612032601,RU
10,port lincoln,-34.7333,135.8667,59.54,81,0,12.82,1612032601,AU
11,bluff,-46.6,168.3333,48.0,80,99,8.01,1612032601,NZ
12,hithadhoo,-0.6,73.0833,82.58,76,4,14.43,1612032601,MV
13,puerto ayora,-0.7393,-90.3518,86.0,62,0,14.97,1612032602,EC
14,along,28.1667,94.7667,47.59,81,1,2.21,1612032602,IN
15,marzuq,14.4,46.4667,62.62,60,0,3.65,1612032602,YE
16,nizwa,22.9333,57.5333,60.87,42,0,2.1,1612032545,OM
17,severo-kurilsk,50.6789,156.125,25.0,95,100,27.92,1612032603,RU
18,keith,57.5363,-2.9481,39.2,70,75,11.5,1612032603,GB
19,tasiilaq,65.6145,-37.6368,15.8,41,75,14.97,1612032603,GL
20,aswan,24.0934,32.907,59.65,33,0,9.35,1612032603,EG
21,busselton,-33.65,115.3333,64.99,70,0,1.99,1612032603,AU
22,kalmunai,7.4167,81.8167,77.09,84,100,6.38,1612032603,LK
23,yellowknife,62.456,-114.3525,-11.99,76,40,5.75,1612032604,CA
24,tarko-sale,64.9225,77.785,-26.66,82,100,13.4,1612032604,RU
25,siguiri,11.6667,-9.5,83.88,14,0,3.0,1612032604,GN
26,butaritari,3.0707,172.7902,80.96,77,100,16.11,1612032605,KI
27,hermanus,-34.4187,19.2345,66.99,82,2,3.0,1612032605,ZA
28,mweka,-4.85,21.5667,70.41,95,100,0.81,1612032605,CD
29,cape town,-33.9258,18.4232,73.0,64,20,11.5,1612032605,ZA
30,aubenas,44.6201,4.3899,44.01,89,100,1.99,1612032605,FR
31,kodiak,57.79,-152.4072,32.0,55,1,25.32,1612032606,US
32,tautira,-17.7333,-149.15,82.4,65,75,6.91,1612032606,PF
33,charters towers,-20.1,146.2667,71.91,86,71,3.87,1612032606,AU
34,castro,-24.7911,-50.0119,72.21,88,97,4.0,1612032606,BR
35,nome,64.5011,-165.4064,-14.8,76,1,3.44,1612032606,US
36,faanui,-16.4833,-151.75,80.92,68,95,3.15,1612032607,PF
37,orocue,4.7912,-71.3354,93.88,37,100,12.55,1612032607,CO
38,qaanaaq,77.484,-69.3632,-5.71,73,99,2.21,1612032607,GL
39,nikolskoye,59.7035,30.7861,28.4,93,90,4.47,1612032607,RU
40,udachnyy,66.4167,112.4,-34.78,77,89,9.42,1612032607,RU
41,jalu,29.0331,21.5482,63.84,37,0,10.07,1612032608,LY
42,karachi,24.9056,67.0822,60.8,82,0,6.91,1612032310,PK
43,buriti,-22.9302,-45.3881,93.2,33,75,5.75,1612032608,BR
44,mataura,-46.1927,168.8643,48.0,80,13,8.01,1612032608,NZ
45,thompson,55.7435,-97.8558,12.2,85,90,2.3,1612032608,CA
46,kaohsiung,22.6163,120.3133,63.0,82,20,2.3,1612032609,TW
47,beloha,-25.1667,45.05,79.74,67,31,1.57,1612032609,MG
48,mandalgovi,45.7625,106.2708,15.06,88,67,12.68,1612032609,MN
49,kapaa,22.0752,-159.319,69.8,100,90,12.66,1612032609,US
50,hobart,-42.8794,147.3294,52.0,81,17,3.44,1612032364,AU
51,san matias,-16.3667,-58.4,92.43,48,8,8.01,1612032609,BO
52,goderich,43.7501,-81.7165,26.6,68,100,5.75,1612032517,CA
53,yumen,40.2833,97.2,23.36,74,0,24.56,1612032610,CN
54,sisimiut,66.9395,-53.6735,7.52,91,80,7.61,1612032610,GL
55,labuhan,-6.8844,112.2051,77.5,86,100,7.87,1612032610,ID
56,leningradskiy,69.3833,178.4167,-28.19,83,0,1.3,1612032610,RU
57,batyrevo,55.0675,47.6111,20.08,96,94,8.99,1612032610,RU
58,jamestown,42.097,-79.2353,25.0,74,90,4.07,1612032418,US
59,atar,20.5169,-13.0499,87.8,12,99,13.8,1612032611,MR
60,porto nacional,-10.7081,-48.4172,86.0,66,20,5.75,1612032611,BR
